ticker,name,asset_class,style,region,lookback,lookback_label,close,expense_ratio,fit_for,tags,strategy_score,profit_score,risk_score,efficiency_score,cagr,sharpe,sortino,calmar,mdd,volatility,downside_volatility,win_rate,turnover
SPY,SPDR S&P 500 ETF Trust,US Equity,Broad Market,US,ret_5d,5D,585.4,0.09,Core Holding,코어 ETF|리스크 균형,45.7,39.0,54.8,45.6,11.2,0.86,1.2,0.55,-20.4,17.8,11.1,54.3,30.2
VTI,Vanguard Total Stock Market ETF,US Equity,Broad Market,US,ret_20d,20D,287.3,0.03,Core Holding,미국 전체시장|분산,63.3,57.6,66.7,67.5,13.9,0.98,1.41,0.78,-17.9,16.1,10.0,56.0,12.7
VTI,Vanguard Total Stock Market ETF,US Equity,Broad Market,US,ret_60d,60D,287.3,0.03,Core Holding,미국 전체시장|분산,73.9,69.8,73.2,79.9,15.3,1.08,1.58,0.92,-16.6,15.1,9.4,57.8,7.2
VTI,Vanguard Total Stock Market ETF,US Equity,Broad Market,US,ret_120d,120D,287.3,0.03,Core Holding,미국 전체시장|분산,72.6,66.6,73.6,79.7,14.9,1.05,1.55,0.89,-16.8,14.9,9.2,57.2,4.0
VTI,Vanguard Total Stock Market ETF,US Equity,Broad Market,US,ret_240d,240D,287.3,0.03,Core Holding,미국 전체시장|분산,65.0,54.3,73.9,70.4,13.0,0.93,1.36,0.76,-17.2,14.5,9.0,55.7,2.0
SCHD,Schwab U.S. Dividend Equity ETF,US Equity,Dividend Quality,US,ret_5d,5D,82.7,0.06,Income + Quality,배당 퀄리티|방어형,53.3,39.6,78.3,46.7,9.7,0.82,1.18,0.61,-15.9,14.3,8.6,55.0,24.6
SCHD,Schwab U.S. Dividend Equity ETF,US Equity,Dividend Quality,US,ret_20d,20D,82.7,0.06,Income + Quality,배당 퀄리티|방어형,71.0,60.2,84.2,72.1,12.4,1.02,1.49,0.84,-14.7,13.5,8.0,57.8,11.5
SCHD,Schwab U.S. Dividend Equity ETF,US Equity,Dividend Quality,US,ret_60d,60D,82.7,0.06,Income + Quality,배당 퀄리티|방어형,79.1,69.8,87.0,83.5,13.6,1.12,1.62,0.95,-14.3,12.9,7.7,59.1,6.1
SCHD,Schwab U.S. Dividend Equity ETF,US Equity,Dividend Quality,US,ret_120d,120D,82.7,0.06,Income + Quality,배당 퀄리티|방어형,82.3,73.9,88.5,87.2,14.1,1.14,1.66,1.0,-14.1,12.6,7.5,59.6,3.4
SCHD,Schwab U.S. Dividend Equity ETF,US Equity,Dividend Quality,US,ret_240d,240D,82.7,0.06,Income + Quality,배당 퀄리티|방어형,80.8,71.4,89.4,84.7,13.8,1.1,1.6,0.98,-14.0,12.4,7.4,59.0,1.9
JEPI,JPMorgan Equity Premium Income ETF,US Equity,Income / Covered Call,US,ret_5d,5D,55.2,0.35,Income Focus,커버드콜|현금흐름,54.6,33.2,95.1,42.8,7.4,0.76,1.08,0.59,-12.5,11.7,7.1,54.6,22.1
JEPI,JPMorgan Equity Premium Income ETF,US Equity,Income / Covered Call,US,ret_20d,20D,55.2,0.35,Income Focus,커버드콜|현금흐름,64.5,44.6,95.2,60.2,9.1,0.88,1.25,0.7,-13.1,11.3,6.8,56.3,10.2
JEPI,JPMorgan Equity Premium Income ETF,US Equity,Income / Covered Call,US,ret_60d,60D,55.2,0.35,Income Focus,커버드콜|현금흐름,71.1,53.6,96.2,69.3,10.5,0.95,1.36,0.79,-13.3,10.9,6.5,57.5,5.4
JEPI,JPMorgan Equity Premium Income ETF,US Equity,Income / Covered Call,US,ret_120d,120D,55.2,0.35,Income Focus,커버드콜|현금흐름,74.1,56.8,98.2,73.1,10.8,0.98,1.4,0.83,-13.0,10.6,6.2,58.0,3.1
JEPI,JPMorgan Equity Premium Income ETF,US Equity,Income / Covered Call,US,ret_240d,240D,55.2,0.35,Income Focus,커버드콜|현금흐름,72.2,52.9,99.3,70.8,10.1,0.94,1.35,0.79,-12.8,10.4,6.1,57.6,1.8
TLT,iShares 20+ Year Treasury Bond ETF,Bond,Rate Sensitive,US,ret_5d,5D,91.6,0.15,Macro / Rate Play,금리민감|장기채,15.3,0.0,46.5,4.4,4.3,0.34,0.47,0.2,-21.5,18.9,12.6,49.1,26.8
TLT,iShares 20+ Year Treasury Bond ETF,Bond,Rate Sensitive,US,ret_20d,20D,91.6,0.15,Macro / Rate Play,금리민감|장기채,28.1,12.4,51.5,25.6,6.5,0.48,0.69,0.31,-21.0,17.8,11.9,50.8,12.3
TLT,iShares 20+ Year Treasury Bond ETF,Bond,Rate Sensitive,US,ret_60d,60D,91.6,0.15,Macro / Rate Play,금리민감|장기채,40.7,25.8,59.7,41.6,8.9,0.62,0.92,0.45,-19.8,16.4,10.8,52.1,6.7
TLT,iShares 20+ Year Treasury Bond ETF,Bond,Rate Sensitive,US,ret_120d,120D,91.6,0.15,Macro / Rate Play,금리민감|장기채,38.1,19.5,62.1,38.8,7.7,0.57,0.83,0.39,-19.6,15.9,10.4,51.4,3.7
TLT,iShares 20+ Year Treasury Bond ETF,Bond,Rate Sensitive,US,ret_240d,240D,91.6,0.15,Macro / Rate Play,금리민감|장기채,28.5,5.5,62.8,24.9,5.1,0.39,0.58,0.25,-20.4,15.1,10.0,50.0,2.0
GLD,SPDR Gold Shares,Commodity,Defensive Alternative,Global,ret_5d,5D,74.9,0.4,Diversifier,금|분산,50.5,32.3,84.2,40.9,8.1,0.73,1.02,0.56,-14.4,13.5,8.3,54.0,20.5
GLD,SPDR Gold Shares,Commodity,Defensive Alternative,Global,ret_20d,20D,74.9,0.4,Diversifier,금|분산,65.6,50.3,88.1,63.4,10.7,0.91,1.3,0.76,-14.0,12.7,7.7,56.2,9.4
GLD,SPDR Gold Shares,Commodity,Defensive Alternative,Global,ret_60d,60D,74.9,0.4,Diversifier,금|분산,77.1,66.6,91.2,77.1,12.8,1.04,1.49,0.94,-13.6,12.1,7.3,58.5,5.0
GLD,SPDR Gold Shares,Commodity,Defensive Alternative,Global,ret_120d,120D,74.9,0.4,Diversifier,금|분산,75.4,62.3,92.3,75.9,12.2,1.01,1.45,0.89,-13.7,11.8,7.0,58.0,2.9
GLD,SPDR Gold Shares,Commodity,Defensive Alternative,Global,ret_240d,240D,74.9,0.4,Diversifier,금|분산,71.5,54.9,93.1,71.9,11.1,0.95,1.37,0.81,-13.7,11.5,6.9,57.1,1.6
XLF,Financial Select Sector SPDR Fund,Sector Equity,Cyclical Value,US,ret_5d,5D,42.1,0.1,Cyclical Sector,금융섹터|사이클,30.6,24.7,37.3,31.8,9.3,0.67,0.95,0.39,-23.8,20.2,13.1,52.4,27.6
XLF,Financial Select Sector SPDR Fund,Sector Equity,Cyclical Value,US,ret_20d,20D,42.1,0.1,Cyclical Sector,금융섹터|사이클,52.3,47.8,52.1,58.6,13.0,0.88,1.25,0.62,-20.9,18.0,11.6,55.4,12.8
XLF,Financial Select Sector SPDR Fund,Sector Equity,Cyclical Value,US,ret_60d,60D,42.1,0.1,Cyclical Sector,금융섹터|사이클,71.6,71.3,65.0,78.7,15.9,1.07,1.54,0.88,-18.1,16.5,10.2,58.9,6.8
XLF,Financial Select Sector SPDR Fund,Sector Equity,Cyclical Value,US,ret_120d,120D,42.1,0.1,Cyclical Sector,금융섹터|사이클,68.1,63.8,67.1,74.9,14.7,1.0,1.45,0.81,-18.2,15.8,9.8,57.8,3.8
XLF,Financial Select Sector SPDR Fund,Sector Equity,Cyclical Value,US,ret_240d,240D,42.1,0.1,Cyclical Sector,금융섹터|사이클,59.1,49.1,67.5,64.0,12.4,0.86,1.24,0.66,-18.8,15.2,9.5,55.9,2.1
IWM,iShares Russell 2000 ETF,US Equity,Small Cap,US,ret_5d,5D,68.8,0.19,High Beta,소형주|반응성,10.6,12.3,2.6,16.2,7.9,0.51,0.72,0.25,-31.4,24.1,16.9,50.5,31.2
IWM,iShares Russell 2000 ETF,US Equity,Small Cap,US,ret_20d,20D,68.8,0.19,High Beta,소형주|반응성,28.3,27.7,17.0,40.3,10.6,0.67,0.97,0.37,-28.8,22.2,15.0,53.0,14.7
IWM,iShares Russell 2000 ETF,US Equity,Small Cap,US,ret_60d,60D,68.8,0.19,High Beta,소형주|반응성,45.9,45.6,33.4,58.7,13.4,0.84,1.21,0.54,-24.9,20.5,13.4,55.6,7.9
IWM,iShares Russell 2000 ETF,US Equity,Small Cap,US,ret_120d,120D,68.8,0.19,High Beta,소형주|반응성,43.3,40.3,34.0,56.7,12.7,0.79,1.14,0.49,-25.7,19.8,12.9,54.7,4.4
IWM,iShares Russell 2000 ETF,US Equity,Small Cap,US,ret_240d,240D,68.8,0.19,High Beta,소형주|반응성,33.9,26.9,31.1,46.0,10.4,0.65,0.93,0.37,-27.9,19.2,12.4,52.8,2.3
VNQ,Vanguard Real Estate ETF,Real Estate,Yield / Real Assets,US,ret_5d,5D,31.5,0.13,Yield / Real Assets,리츠|인컴,26.3,14.3,46.0,22.6,6.8,0.55,0.77,0.3,-22.5,18.2,12.4,51.7,25.9
VNQ,Vanguard Real Estate ETF,Real Estate,Yield / Real Assets,US,ret_20d,20D,31.5,0.13,Yield / Real Assets,리츠|인컴,41.2,29.1,53.1,45.5,9.4,0.72,1.01,0.43,-21.7,16.9,11.3,53.8,11.8
VNQ,Vanguard Real Estate ETF,Real Estate,Yield / Real Assets,US,ret_60d,60D,31.5,0.13,Yield / Real Assets,리츠|인컴,54.1,44.2,59.5,61.9,11.8,0.87,1.24,0.57,-20.8,15.8,10.4,56.0,6.3
VNQ,Vanguard Real Estate ETF,Real Estate,Yield / Real Assets,US,ret_120d,120D,31.5,0.13,Yield / Real Assets,리츠|인컴,52.3,39.9,61.8,59.2,11.0,0.82,1.16,0.53,-20.7,15.2,10.0,55.5,3.5
VNQ,Vanguard Real Estate ETF,Real Estate,Yield / Real Assets,US,ret_240d,240D,31.5,0.13,Yield / Real Assets,리츠|인컴,47.1,31.3,61.9,53.3,9.6,0.74,1.04,0.45,-21.3,14.8,9.7,54.3,1.9
